ENCUESTA,Encuesta 2,creador@x.y

PREGUNTAS
PREGUNTA,1,Color,true,FormatoLibre
PREGUNTA,2,Edad,true,Numerica,0,100
PREGUNTA,4,Entero cualquiera,true,Numerica,-1000000,1000000

PREGUNTAS_OPCIONES
PREGUNTA,3,Asignaturas Favoritas,true,ConOpciones,FM.F.IC.PRO1.M1.M2.EC.PRO2.BD.SO.EDA.CI.PE.IES.XC.AC.EEE.IDI.PAR.PROP

RESPUESTAS
RESPUESTA,a@x.y,Rojo,20,1.15.18,234124
RESPUESTA,b@x.y,Verde,20,2.20,1341
RESPUESTA,c@x.y,Azul,20,5.7.8,-232
RESPUESTA,d@x.y,Verde,19,2.3.20,0
RESPUESTA,e@x.y,Verde,19,1.3.6,1000000
RESPUESTA,f@x.y,Rojo,20,4.5.6.7,120120
RESPUESTA,g@x.y,Azul,20,1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20,-1000000
RESPUESTA,h@x.y,Naranja,20,6,12
RESPUESTA,i@x.y,Rojo,21,2.19.20,33
RESPUESTA,j@x.y,Rojo,20,4,421412
RESPUESTA,k@x.y,Verde,19,2.3.5.7.11.13.17.19,-132313
RESPUESTA,l@x.y,Azul,17,1.2.3.4.5.6.7.8,007
RESPUESTA,m@x.y,Purpura,20,9.10.11.12.13,2200
RESPUESTA,n@x.y,Verde,20,2.3.9.19.20,-324552
RESPUESTA,o@x.y,Azul,21,19.20,0
